search_term,category,brand,model,tier,gender
Chanel Maxi,Bag,Chanel,Maxi / Large Flap Bag (Blazy SS26),Ultra-luxury,W
Chanel Classic,Bag,Chanel,Classic / Small Flap Bag,Ultra-luxury,W
Chanel Large Tote,Bag,Chanel,Large Tote (Blazy era),Ultra-luxury,W
Dior Bow Bag,Bag,Dior,Bow Bag,Ultra-luxury,W
Dior Cigale,Bag,Dior,Cigale,Ultra-luxury,W
Dior Lady Dior,Bag,Dior,Lady Dior,Ultra-luxury,W
Dior Saddle Bag,Bag,Dior,Saddle Bag,Ultra-luxury,W
Hermes Birkin 25,Bag,Hermes,Birkin 25 / Sellier Birkin,Ultra-luxury,W
Hermes Kelly Mini II,Bag,Hermes,Kelly Mini II,Ultra-luxury,W
Hermes Constance,Bag,Hermes,Constance,Ultra-luxury,W
Hermes Kelly Cut Pochette,Bag,Hermes,Kelly Cut Pochette,Ultra-luxury,W
The Row Peggy Clutch,Bag,The Row,Peggy Clutch,Ultra-luxury,W
The Row Margaux,Bag,The Row,Margaux (discontinued),Ultra-luxury,W
The Row Marlo Tote,Bag,The Row,Marlo Tote,Ultra-luxury,W
Miu Miu Arcadie,Bag,Miu Miu,Arcadie,Luxury,W
Miu Miu Wander,Bag,Miu Miu,Wander (matelasse),Luxury,W
Prada Bonnie,Bag,Prada,Bonnie,Luxury,W
Prada Triangle Pouch,Bag,Prada,Triangle Pouch / small pouches,Luxury,W
Prada Re-Edition Nylon,Bag,Prada,Re-Edition Nylon,Luxury,W
Bottega Veneta Andiamo,Bag,Bottega Veneta,Andiamo (+ Andiamo Clutch),Ultra-luxury,W
Bottega Veneta Cassette,Bag,Bottega Veneta,Cassette / Jodie,Luxury,W
Balenciaga Le City,Bag,Balenciaga,Le City,Luxury,W
Chloe Paddington,Bag,Chloe,Paddington,Luxury,W
Gucci Indy,Bag,Gucci,Indy (vintage revival),Luxury,W
Gucci Jackie 1961,Bag,Gucci,Jackie 1961,Luxury,W
Fendi Baguette 1997,Bag,Fendi,Baguette 1997,Luxury,W
Fendi Peekaboo,Bag,Fendi,Peekaboo (woven / raffia),Luxury,W
Loewe Amazona 180,Bag,Loewe,Amazona 180,Luxury,W
Loewe Puzzle,Bag,Loewe,Puzzle,Luxury,W
Saint Laurent Mombasa,Bag,Saint Laurent,Mombasa,Luxury,W
Saint Laurent Cassandra Chain Wallet,Bag,Saint Laurent,Cassandra Chain Wallet,Luxury,W
Louis Vuitton Neverfull MM,Bag,Louis Vuitton,Neverfull MM,Luxury,W
Louis Vuitton Speedy B,Bag,Louis Vuitton,Speedy B (Out of the Trunk),Luxury,W
Louis Vuitton Pochette Accessoires,Bag,Louis Vuitton,Pochette Accessoires,Luxury,W
Louis Vuitton x Murakami Multicolore,Bag,Louis Vuitton,x Murakami Multicolore (reissue),Luxury,W
Louis Vuitton Noe Trunk,Bag,Louis Vuitton,Noe Trunk / Squire,Luxury,W
Coach Tabby 26 Shoulder Bag,Bag,Coach,Tabby 26 Shoulder Bag,Accessible luxury,W
Coach Kisslock Barrel Bag,Bag,Coach,Kisslock Barrel Bag,Accessible luxury,W
Coach Brooklyn,Bag,Coach,Brooklyn / Empire Carryall,Accessible luxury,W
Goyard St Louis Tote,Bag,Goyard,St Louis Tote,Ultra-luxury,W
Manu Atelier Cambon Cabas,Bag,Manu Atelier,Cambon Cabas,Contemporary,W
Balenciaga Hourglass Top Handle,Bag,Balenciaga,Hourglass Top Handle,Luxury,W
Chanel Two-Tone Pumps,Shoes,Chanel,"Two-Tone Pumps (SS26, Blazy)",Ultra-luxury,W
Chanel Two-Tone Slingbacks,Shoes,Chanel,Two-Tone Slingbacks / Ballet Flats,Ultra-luxury,W
